# connections,p50,p75,p95
140,0.148534829,0.149306918,0.154728069
141,0.156307238,0.159104034,0.16427969
142,0.141005667,0.141804834,0.160143332
143,0.158501583,0.159500852,0.160427372
144,0.1421847,0.155881492,0.157456899
145,0.140099051,0.157096636,0.163076864
146,0.146483497,0.147194381,0.166335977
147,0.168258479,0.170529078,0.177237404
148,0.136589226,0.151743152,0.163050613
149,0.155207887,0.155960556,0.165726354
150,0.142204713,0.157776368,0.173757872
151,0.132261581,0.133568369,0.134418819
152,0.17131695,0.172066462,0.172699637
153,0.17470345,0.178644034,0.193337157
154,0.188833899,0.190203126,0.190972244
155,0.155320523,0.156745775,0.170126428
156,0.198634412,0.199616333,0.201531155
157,0.193422949,0.19540873,0.202311466
158,0.160589881,0.161804849,0.163824991
159,0.143413173,0.144243359,0.145606107
160,0.137985401,0.13919189,0.150502703
161,0.162643867,0.16391941,0.164585378
162,0.15608266,0.157102009,0.158086109
163,0.144779508,0.145527204,0.146185493
164,0.166654934,0.167734495,0.176393803
165,0.178935808,0.17962283,0.180754703
166,0.155353374,0.170292378,0.172263845
167,0.174551786,0.175636273,0.176510052
168,0.148075231,0.148353427,0.148765388
169,0.177788988,0.178588148,0.183746594
170,0.189883904,0.191249617,0.194332799
171,0.182944203,0.18396118,0.19350449
172,0.148849222,0.14950433,0.150450016
173,0.182691169,0.183507277,0.195671004
174,0.191529261,0.19234464,0.193347792
175,0.202127179,0.202666416,0.203615006
176,0.163317002,0.163922981,0.16478152
177,0.199360093,0.200551516,0.21746728
178,0.214293885,0.214990274,0.221956984
179,0.215018006,0.216306381,0.225155883
180,0.155321578,0.155624596,0.156328722
181,0.171303783,0.171906202,0.172667708
182,0.231008794,0.232146645,0.235274433
183,0.139739592,0.192321525,0.200236661
184,0.201193889,0.209354096,0.213206167
185,0.21818808,0.219371085,0.233394315
186,0.16383439,0.220634926,0.235224406
187,0.171657116,0.193861998,0.195603694
188,0.197659143,0.214150188,0.225713761
189,0.212482735,0.214004457,0.226363392
190,0.231569121,0.234928119,0.236045619
191,0.236266246,0.238729489,0.24004466
192,0.253031191,0.25440905,0.255772516
193,0.190988129,0.249866381,0.25123434
194,0.250571072,0.253331856,0.254634091
195,0.23059117,0.232437503,0.233328827
196,0.187392714,0.253127679,0.254546285
197,0.253545847,0.257695066,0.258933608
198,0.250729307,0.253450197,0.272816859
199,0.243587366,0.24788994,0.261856347
200,0.212453827,0.254301004,0.260218207
201,0.182097157,0.186079011,0.187392899
202,0.253625801,0.256506092,0.25886637
203,0.235470828,0.26542655,0.272744021
204,0.211786248,0.258860195,0.260943081
205,0.255959453,0.258383063,0.261554051
206,0.253012958,0.256851071,0.258317511
207,0.260314838,0.261389707,0.262647191
208,0.241658513,0.25424937,0.268047438
209,0.149687585,0.206492468,0.208204181
210,0.170721287,0.215842569,0.23065632
211,0.181051292,0.204600368,0.230445403
212,0.208593567,0.242024813,0.245604817
213,0.201747043,0.202974956,0.205497357
214,0.269569215,0.270654054,0.271625951
215,0.258692644,0.260040872,0.26131832
216,0.238298195,0.239647358,0.255375808
217,0.278048564,0.279259698,0.279997551
218,0.193884711,0.194901424,0.195596395
219,0.267594452,0.273975495,0.274864158
220,0.241666551,0.292750038,0.297896259
221,0.251161305,0.337760392,0.339444497
222,0.229748003,0.23101018,0.232223705
223,0.269511798,0.305605148,0.307591823
224,0.287903953,0.289281461,0.305678148
225,0.298612308,0.301297024,0.302090309
226,0.236934896,0.238640184,0.247690064
227,0.182376714,0.289666774,0.291764256
228,0.184572193,0.287290108,0.289293695
229,0.186521763,0.299977877,0.301535776
230,0.202216498,0.274514066,0.279641231
231,0.179372783,0.232074515,0.234576006
232,0.236114272,0.299667398,0.301508682
233,0.23687103,0.302881076,0.3049278
234,0.262176285,0.314545059,0.321634284
235,0.202455669,0.335202371,0.337823981
236,0.192420032,0.303846439,0.305101652
237,0.154139092,0.23647023,0.248507898
238,0.185281206,0.309737616,0.311495494
239,0.276640342,0.305197998,0.310020057
240,0.28880419,0.289951258,0.292786558
241,0.296600085,0.327026113,0.338825999
242,0.241522789,0.315363059,0.326404171
243,0.259452534,0.273602303,0.29297905
244,0.253608361,0.303102817,0.337098158
245,0.202624916,0.307964952,0.309891032
246,0.214596236,0.301376215,0.308466246
247,0.201248687,0.283517271,0.322067353
248,0.22064519,0.307928819,0.326315754
249,0.178560779,0.251281285,0.271470985
250,0.235137079,0.34584241,0.354827593
251,0.26702416,0.30198126,0.318662447
252,0.201115197,0.25929609,0.261996576
253,0.225867775,0.235422813,0.237789072
254,0.28987871,0.312336323,0.34516634
255,0.303213263,0.354028028,0.357594166
256,0.322389904,0.371851792,0.383748298
257,0.276629777,0.316379595,0.334963888
258,0.264787339,0.340416781,0.343238582
259,0.244158761,0.246584017,0.24800917
260,0.239280935,0.239880993,0.2412457
261,0.321328326,0.323499987,0.327336767
